Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
25,4,16,21,26,3,,,,,,200,137,12,5,5/7/2020,63,340143,Catawba Valley Medical Center,THPC
25,1,16,22,26,4,,,,,,200,157,15,4,5/5/2020,43,340143,Catawba Valley Medical Center,THPC
25,12,16,24,26,1,,,,,,200,127,4,2,5/25/2020,73,340143,Catawba Valley Medical Center,THPC
25,10,16,20,26,2,,,,,,200,125,6,6,5/11/2020,75,340143,Catawba Valley Medical Center,THPC
0,5,13,50,55,7,,,,,,126,169,8,5,5/14/2020,-43,340015,Novant Health - Rowan Medical Center,THPC
0,3,13,32,41,9,,,,,,129,146,10,9,6/2/2020,-17,340015,Novant Health - Rowan Medical Center,THPC
56,1,14,14,21,17,,,,,,132,126,13,7,4/23/2020,6,340015,Novant Health - Rowan Medical Center,THPC
56,2,13,46,57,13,,,,,,126,146,11,11,4/30/2020,-20,340015,Novant Health - Rowan Medical Center,THPC
0,5,13,52,55,8,,,,,,126,161,8,3,5/15/2020,-35,340015,Novant Health - Rowan Medical Center,THPC
0,3,13,49,55,8,,,,,,126,162,10,6,5/21/2020,-36,340015,Novant Health - Rowan Medical Center,THPC
56,3,13,49,55,13,,,,,,126,150,10,6,5/11/2020,-24,340015,Novant Health - Rowan Medical Center,THPC
56,1,13,16,21,16,,,,,,133,126,12,5,4/24/2020,7,340015,Novant Health - Rowan Medical Center,THPC
56,2,13,14,21,12,,,,,,127,126,11,7,4/20/2020,1,340015,Novant Health - Rowan Medical Center,THPC
0,6,13,51,55,8,,,,,,126,144,7,4,5/17/2020,-18,340015,Novant Health - Rowan Medical Center,THPC
56,3,12,3,16,9,,,,,,77,42,9,13,4/7/2020,35,340015,Novant Health - Rowan Medical Center,THPC
56,4,13,8,16,13,,,,,,132,126,9,8,4/15/2020,6,340015,Novant Health - Rowan Medical Center,THPC
56,4,13,10,16,10,,,,,,126,121,9,6,4/13/2020,5,340015,Novant Health - Rowan Medical Center,THPC
25,8,24,21,24,0,,,,,,180,9,16,3,4/7/2020,171,340116,Frye Regional MC,THPC
25,10,16,23,26,2,,,,,,200,152,6,3,4/29/2020,48,340143,Catawba Valley Medical Center,THPC
25,9,16,23,26,0,,,,,,200,150,7,3,5/31/2020,50,340143,Catawba Valley Medical Center,THPC
25,6,16,22,26,0,,,,,,200,150,10,4,6/1/2020,50,340143,Catawba Valley Medical Center,THPC
25,7,16,20,26,1,,,,,,200,174,9,6,5/29/2020,26,340143,Catawba Valley Medical Center,THPC
0,2,13,49,57,8,,,,,,126,162,11,8,5/26/2020,-36,340015,Novant Health - Rowan Medical Center,THPC
56,4,13,50,55,13,,,,,,126,163,9,5,5/8/2020,-37,340015,Novant Health - Rowan Medical Center,THPC
56,-1,13,47,55,17,,,,,,126,150,14,8,5/5/2020,-24,340015,Novant Health - Rowan Medical Center,THPC
0,4,13,53,55,8,,,,,,126,143,9,2,5/18/2020,-17,340015,Novant Health - Rowan Medical Center,THPC
0,3,13,40,48,8,,,,,,126,164,10,8,5/30/2020,-38,340015,Novant Health - Rowan Medical Center,THPC
0,5,13,40,48,8,,,,,,126,149,8,8,6/1/2020,-23,340015,Novant Health - Rowan Medical Center,THPC
56,2,13,10,16,12,,,,,,147,126,11,6,4/10/2020,21,340015,Novant Health - Rowan Medical Center,THPC
56,2,13,48,55,13,,,,,,126,158,11,7,5/7/2020,-32,340015,Novant Health - Rowan Medical Center,THPC
0,0,13,51,57,7,,,,,,126,154,13,6,5/25/2020,-28,340015,Novant Health - Rowan Medical Center,THPC
56,0,13,45,55,14,,,,,,126,133,13,10,5/4/2020,-7,340015,Novant Health - Rowan Medical Center,THPC
56,4,13,14,21,12,,,,,,127,126,9,7,4/16/2020,1,340015,Novant Health - Rowan Medical Center,THPC
56,6,13,22,26,18,,,,,,126,125,7,4,4/27/2020,1,340015,Novant Health - Rowan Medical Center,THPC
25,3,16,23,26,3,,,,,,200,142,13,3,5/8/2020,58,340143,Catawba Valley Medical Center,THPC
25,6,8,10,10,0,0,0,0,0,0,99,53,2,0,8/7/2020,46,340144,Davis Regional MC,THPC
25,2,8,10,10,0,0,0,1,0,0,75,49,6,0,6/8/2020,26,340144,Davis Regional MC,THPC
25,3,8,10,10,0,0,0,1,0,0,99,41,5,0,6/7/2020,58,340144,Davis Regional MC,THPC
25,3,8,10,10,0,0,0,1,0,1,75,55,5,0,6/24/2020,20,340144,Davis Regional MC,THPC
25,3,8,10,10,0,0,0,2,0,0,75,44,5,0,6/17/2020,31,340144,Davis Regional MC,THPC
20,4,8,10,10,0,0,0,2,0,2,75,47,4,0,6/15/2020,28,340144,Davis Regional MC,THPC
25,2,8,10,10,0,0,0,4,0,4,75,48,6,0,6/16/2020,27,340144,Davis Regional MC,THPC
25,4,8,10,10,0,0,0,2,0,0,75,41,4,0,6/22/2020,34,340144,Davis Regional MC,THPC
25,4,8,10,10,0,0,0,1,0,0,75,43,4,0,6/23/2020,32,340144,Davis Regional MC,THPC
25,7,8,10,10,0,0,0,1,0,1,99,46,1,0,6/20/2020,53,340144,Davis Regional MC,THPC
25,5,8,9,10,0,0,0,1,0,0,99,53,3,1,7/5/2020,46,340144,Davis Regional MC,THPC
25,4,8,10,10,0,0,0,0,0,0,75,45,4,0,7/8/2020,30,340144,Davis Regional MC,THPC
25,1,8,12,12,0,0,0,0,0,0,144,48,7,0,6/18/2020,96,340144,Davis Regional MC,THPC
25,4,8,10,10,0,0,0,0,0,0,99,52,4,0,6/19/2020,47,340144,Davis Regional MC,THPC
25,3,8,10,10,0,0,0,1,0,0,99,46,5,0,6/13/2020,53,340144,Davis Regional MC,THPC
25,3,8,10,10,0,0,0,2,0,0,99,57,5,0,6/12/2020,42,340144,Davis Regional MC,THPC
25,4,8,10,10,0,0,0,1,0,0,75,46,4,0,7/20/2020,29,340144,Davis Regional MC,THPC
25,8,8,10,10,0,0,0,0,0,0,99,56,0,0,7/10/2020,43,340144,Davis Regional MC,THPC
25,3,8,10,10,0,0,0,2,0,0,99,53,5,0,6/6/2020,46,340144,Davis Regional MC,THPC
25,4,8,10,10,0,0,0,1,0,0,99,47,4,0,6/14/2020,52,340144,Davis Regional MC,THPC
25,4,8,8,10,0,0,0,2,0,0,99,50,4,2,6/5/2020,49,340144,Davis Regional MC,THPC
25,3,8,7,10,0,0,0,2,0,2,75,57,5,3,6/3/2020,18,340144,Davis Regional MC,THPC
25,5,8,10,10,0,0,0,0,0,2,75,53,3,0,7/7/2020,22,340144,Davis Regional MC,THPC
25,3,8,12,12,0,0,0,2,0,0,144,47,5,0,6/9/2020,97,340144,Davis Regional MC,THPC
25,3,8,10,12,0,0,0,3,0,1,144,56,5,2,6/4/2020,88,340144,Davis Regional MC,THPC
25,5,8,10,10,0,0,0,2,0,0,75,53,3,0,7/6/2020,22,340144,Davis Regional MC,THPC
25,6,8,12,12,0,0,0,0,0,0,144,46,2,0,7/9/2020,98,340144,Davis Regional MC,THPC
25,1,16,18,26,1,0,0,9,0,8,200,157,15,8,6/4/2020,43,340143,Catawba Valley Medical Center,THPC
25,1,16,8,16,2,0,0,6,0,4,200,150,15,8,6/6/2020,50,340143,Catawba Valley Medical Center,THPC
25,3,8,10,10,0,0,0,1,0,0,99,49,5,0,6/21/2020,50,340144,Davis Regional MC,THPC
0,0,13,45,53,14,0,0,1,0,1,126,144,13,8,6/17/2020,-18,340015,Novant Health - Rowan Medical Center,THPC
25,0,8,14,14,1,0,1,0,0,0,80,52,8,0,8/25/2020,28,340144,Davis Regional MC,THPC
25,4,8,10,10,1,0,1,1,0,0,99,53,4,0,8/2/2020,46,340144,Davis Regional MC,THPC
25,3,8,9,10,1,0,1,1,0,0,80,44,5,1,8/3/2020,36,340144,Davis Regional MC,THPC
0,8,16,11,12,8,0,1,3,0,1,199,96,8,1,8/8/2020,103,340039,Iredell Health System,THPC
0,7,16,10,12,10,0,1,4,0,1,199,86,9,2,8/9/2020,113,340039,Iredell Health System,THPC
25,3,8,10,10,1,0,1,3,0,2,99,48,5,0,6/27/2020,51,340144,Davis Regional MC,THPC
25,2,8,12,12,1,0,1,1,0,1,144,51,6,0,6/25/2020,93,340144,Davis Regional MC,THPC
25,6,8,12,12,1,0,1,0,0,0,144,36,2,0,6/11/2020,108,340144,Davis Regional MC,THPC
25,5,8,10,10,1,0,1,0,0,0,99,35,3,0,6/10/2020,64,340144,Davis Regional MC,THPC
8,8,16,11,12,2,0,1,1,0,0,199,87,8,1,6/5/2020,112,340039,Iredell Health System,THPC
8,11,16,11,12,2,0,1,1,0,0,199,78,5,1,6/3/2020,121,340039,Iredell Health System,THPC
0,1,16,12,12,1,0,1,5,0,4,199,94,15,0,6/6/2020,105,340039,Iredell Health System,THPC
8,11,16,12,12,1,0,1,3,0,0,199,82,5,0,6/8/2020,117,340039,Iredell Health System,THPC
0,8,16,12,12,2,0,1,0,0,0,199,85,8,0,6/7/2020,114,340039,Iredell Health System,THPC
8,9,16,11,12,2,0,1,2,0,2,199,79,7,1,6/4/2020,120,340039,Iredell Health System,THPC
0,1,13,36,52,11,0,1,4,0,1,180,135,12,16,7/5/2020,45,340015,Novant Health - Rowan Medical Center,THPC
0,-1,13,44,53,11,0,1,3,0,0,177,139,14,9,6/22/2020,38,340015,Novant Health - Rowan Medical Center,THPC
25,2,24,19,24,4,0,1,0,0,0,180,134,22,5,7/5/2020,46,340116,Frye Regional MC,THPC
25,4,24,18,24,4,0,1,0,0,0,180,122,20,6,7/4/2020,58,340116,Frye Regional MC,THPC
25,8,24,19,24,2,0,1,0,0,0,180,117,16,5,6/12/2020,63,340116,Frye Regional MC,THPC
25,7,24,18,24,6,0,1,0,0,0,180,125,17,6,6/28/2020,55,340116,Frye Regional MC,THPC
25,6,20,9,16,7,0,1,5,0,3,200,152,14,7,6/10/2020,48,340143,Catawba Valley Medical Center,THPC
25,2,16,21,26,1,0,1,2,0,4,200,150,14,5,6/3/2020,50,340143,Catawba Valley Medical Center,THPC
0,3,13,42,53,12,0,1,0,0,0,177,147,10,11,6/18/2020,30,340015,Novant Health - Rowan Medical Center,THPC
25,0,8,14,14,2,0,2,0,0,0,80,57,8,0,8/20/2020,23,340144,Davis Regional MC,THPC
25,4,8,10,10,2,0,2,0,0,0,80,62,4,0,8/15/2020,18,340144,Davis Regional MC,THPC
25,2,8,10,10,2,0,2,0,0,0,99,61,6,0,8/1/2020,38,340144,Davis Regional MC,THPC
25,1,8,14,14,2,0,2,0,0,0,80,50,7,0,8/24/2020,30,340144,Davis Regional MC,THPC
25,4,8,14,14,2,0,2,0,0,0,80,40,4,0,8/17/2020,40,340144,Davis Regional MC,THPC
25,4,8,12,12,2,0,2,1,0,0,80,52,4,0,8/13/2020,28,340144,Davis Regional MC,THPC
25,5,8,10,10,2,0,2,1,0,0,80,51,3,0,8/5/2020,29,340144,Davis Regional MC,THPC
25,5,8,13,14,3,0,2,1,0,0,80,50,3,1,8/12/2020,30,340144,Davis Regional MC,THPC
25,0,8,10,10,2,0,2,1,0,1,80,47,8,0,7/28/2020,33,340144,Davis Regional MC,THPC
35,0,16,23,26,15,0,2,7,0,1,200,175,16,3,7/26/2020,25,340143,Catawba Valley Medical Center,THPC
25,3,8,10,10,2,0,2,3,0,1,75,48,5,0,6/29/2020,27,340144,Davis Regional MC,THPC
25,4,8,10,10,2,0,2,0,0,0,99,47,4,0,7/19/2020,52,340144,Davis Regional MC,THPC
25,3,8,7,10,2,0,2,1,0,0,99,45,5,3,7/4/2020,54,340144,Davis Regional MC,THPC
25,2,8,10,10,2,0,2,1,0,0,99,67,6,0,7/17/2020,32,340144,Davis Regional MC,THPC
25,5,24,17,24,6,0,2,0,0,0,180,150,19,7,6/26/2020,30,340116,Frye Regional MC,THPC
25,7,24,19,24,7,0,2,0,0,0,180,134,17,5,6/29/2020,46,340116,Frye Regional MC,THPC
25,6,24,20,24,7,0,2,0,0,0,180,133,18,4,7/6/2020,47,340116,Frye Regional MC,THPC
25,8,24,18,24,3,0,2,0,0,0,180,109,16,6,6/11/2020,71,340116,Frye Regional MC,THPC
25,6,24,18,24,3,0,2,0,0,0,180,112,18,6,6/7/2020,68,340116,Frye Regional MC,THPC
25,10,24,17,24,4,0,2,0,0,0,180,108,14,7,6/4/2020,72,340116,Frye Regional MC,THPC
25,9,24,20,24,4,0,2,0,0,0,180,118,15,4,6/5/2020,62,340116,Frye Regional MC,THPC
25,5,24,19,24,4,0,2,0,0,0,180,117,19,5,6/6/2020,63,340116,Frye Regional MC,THPC
25,10,24,17,24,4,0,2,0,0,0,180,126,14,7,6/16/2020,54,340116,Frye Regional MC,THPC
25,2,24,19,24,8,0,2,0,0,0,180,144,22,5,6/25/2020,36,340116,Frye Regional MC,THPC
25,10,24,16,24,4,0,2,0,0,0,180,121,14,8,6/17/2020,59,340116,Frye Regional MC,THPC
25,6,24,17,24,4,0,2,0,0,0,180,107,18,7,6/3/2020,73,340116,Frye Regional MC,THPC
25,5,24,21,24,7,0,2,0,0,0,180,141,19,3,7/7/2020,39,340116,Frye Regional MC,THPC
25,5,16,20,26,11,0,2,8,0,5,200,155,11,6,6/15/2020,45,340143,Catawba Valley Medical Center,THPC
25,3,8,12,12,3,0,3,0,0,0,144,47,5,0,7/27/2020,97,340144,Davis Regional MC,THPC
25,3,8,10,10,3,0,3,0,0,0,99,58,5,0,7/25/2020,41,340144,Davis Regional MC,THPC
25,3,8,10,10,3,0,3,0,0,0,99,52,5,0,7/26/2020,47,340144,Davis Regional MC,THPC
25,1,8,10,10,3,0,3,0,0,0,99,62,7,0,7/31/2020,37,340144,Davis Regional MC,THPC
25,4,8,10,10,3,0,3,0,0,0,80,44,4,0,8/19/2020,36,340144,Davis Regional MC,THPC
25,1,8,12,12,3,0,3,1,0,1,144,59,7,0,7/30/2020,85,340144,Davis Regional MC,THPC
0,3,16,8,12,12,0,3,4,0,0,199,112,13,4,8/1/2020,87,340039,Iredell Health System,THPC
0,3,16,8,12,11,0,3,6,0,1,199,107,13,4,8/2/2020,92,340039,Iredell Health System,THPC
8,3,16,11,15,11,0,3,8,0,6,199,93,13,4,8/18/2020,106,340039,Iredell Health System,THPC
25,4,24,18,24,6,0,3,0,0,0,180,154,20,6,8/19/2020,26,340116,Frye Regional MC,THPC
25,11,24,16,24,7,0,3,0,0,0,180,147,13,8,8/17/2020,33,340116,Frye Regional MC,THPC
25,9,24,16,24,9,0,3,0,0,0,180,142,15,8,8/15/2020,38,340116,Frye Regional MC,THPC
25,3,8,9,10,3,0,3,0,0,0,99,52,5,1,7/3/2020,47,340144,Davis Regional MC,THPC
25,3,8,12,12,3,0,3,0,0,0,144,43,5,0,7/2/2020,101,340144,Davis Regional MC,THPC
25,4,8,10,10,3,0,3,1,0,1,75,54,4,0,7/14/2020,21,340144,Davis Regional MC,THPC
25,2,8,10,10,3,0,3,1,0,1,75,59,6,0,7/15/2020,16,340144,Davis Regional MC,THPC
25,3,8,10,10,3,0,3,2,0,2,75,60,5,0,7/1/2020,15,340144,Davis Regional MC,THPC
25,2,8,10,10,3,0,3,0,0,0,99,53,6,0,7/24/2020,46,340144,Davis Regional MC,THPC
8,2,16,5,12,3,0,3,5,0,5,199,98,14,7,6/11/2020,101,340039,Iredell Health System,THPC
0,1,13,37,50,13,0,3,4,0,1,177,139,12,13,7/20/2020,38,340015,Novant Health - Rowan Medical Center,THPC
0,5,13,37,50,10,0,3,0,0,0,178,142,8,13,7/15/2020,36,340015,Novant Health - Rowan Medical Center,THPC
25,8,24,15,24,3,0,3,0,0,0,180,118,16,9,6/8/2020,62,340116,Frye Regional MC,THPC
35,4,16,18,26,5,0,3,2,0,0,200,159,12,8,6/21/2020,41,340143,Catawba Valley Medical Center,THPC
25,3,8,10,10,3,0,3,0,0,0,99,60,5,0,7/18/2020,39,340144,Davis Regional MC,THPC
35,1,16,18,26,5,0,3,3,0,2,200,157,15,8,6/22/2020,43,340143,Catawba Valley Medical Center,THPC
0,-1,13,44,52,9,0,3,1,0,0,175,133,14,8,7/11/2020,42,340015,Novant Health - Rowan Medical Center,THPC
0,0,16,6,12,16,0,4,4,0,0,199,108,16,6,8/15/2020,91,340039,Iredell Health System,THPC
0,3,16,9,12,8,0,4,12,0,1,199,86,13,3,7/26/2020,113,340039,Iredell Health System,THPC
8,2,16,6,12,17,0,4,4,0,1,199,126,14,6,8/24/2020,73,340039,Iredell Health System,THPC
8,2,16,11,15,12,0,4,4,0,2,199,96,14,4,8/3/2020,103,340039,Iredell Health System,THPC
8,0,16,11,15,10,0,4,3,0,3,199,199,16,4,7/30/2020,0,340039,Iredell Health System,THPC
25,7,24,21,24,10,0,4,0,0,0,180,142,17,3,8/4/2020,38,340116,Frye Regional MC,THPC
0,3,16,6,12,10,0,4,1,0,0,199,102,13,6,6/21/2020,97,340039,Iredell Health System,THPC
8,0,16,1,12,11,0,4,3,0,1,199,108,16,11,6/17/2020,91,340039,Iredell Health System,THPC
8,7,16,8,12,17,0,4,8,0,1,199,100,9,4,7/6/2020,99,340039,Iredell Health System,THPC
8,1,16,6,12,10,0,4,3,0,2,199,97,15,6,6/22/2020,102,340039,Iredell Health System,THPC
0,1,13,40,50,10,0,4,5,0,1,180,154,12,10,7/23/2020,26,340015,Novant Health - Rowan Medical Center,THPC
0,-2,13,43,49,10,0,4,1,0,1,177,157,15,6,7/24/2020,20,340015,Novant Health - Rowan Medical Center,THPC
0,-3,13,36,47,10,0,4,1,0,0,126,140,16,11,6/9/2020,-14,340015,Novant Health - Rowan Medical Center,THPC
0,1,13,38,47,7,0,4,2,0,1,126,120,12,9,6/6/2020,6,340015,Novant Health - Rowan Medical Center,THPC
0,0,13,39,47,10,0,4,0,0,0,126,135,13,8,6/11/2020,-9,340015,Novant Health - Rowan Medical Center,THPC
0,-2,13,33,41,7,0,4,5,0,3,126,160,15,8,6/5/2020,-34,340015,Novant Health - Rowan Medical Center,THPC
0,2,16,9,12,11,0,5,7,0,2,199,109,14,3,7/28/2020,90,340039,Iredell Health System,THPC
25,9,24,18,24,10,0,5,0,0,0,180,139,15,6,7/31/2020,41,340116,Frye Regional MC,THPC
25,9,24,17,24,11,0,5,0,0,0,180,136,15,7,8/2/2020,44,340116,Frye Regional MC,THPC
0,7,16,9,12,14,0,5,4,0,1,199,98,9,3,6/27/2020,101,340039,Iredell Health System,THPC
0,6,16,9,12,14,0,5,1,0,1,199,85,10,3,6/28/2020,114,340039,Iredell Health System,THPC
8,3,16,9,12,15,0,5,3,0,2,199,105,13,3,6/26/2020,94,340039,Iredell Health System,THPC
35,5,16,16,26,8,0,5,4,0,3,200,164,11,10,6/19/2020,36,340143,Catawba Valley Medical Center,THPC
35,2,16,21,26,12,0,5,5,0,3,200,147,14,5,7/5/2020,53,340143,Catawba Valley Medical Center,THPC
8,0,16,11,15,11,0,6,13,0,2,199,95,16,4,7/27/2020,104,340039,Iredell Health System,THPC
25,8,24,17,24,14,0,6,0,0,0,190,152,16,7,7/26/2020,38,340116,Frye Regional MC,THPC
35,0,16,15,26,15,0,6,2,0,0,200,178,16,11,8/9/2020,22,340143,Catawba Valley Medical Center,THPC
35,1,16,16,26,13,0,6,5,0,1,200,167,15,10,8/12/2020,33,340143,Catawba Valley Medical Center,THPC
35,1,16,16,26,14,0,6,4,0,2,200,172,15,10,8/11/2020,28,340143,Catawba Valley Medical Center,THPC
35,0,16,21,26,11,0,6,4,0,0,200,163,16,5,7/3/2020,37,340143,Catawba Valley Medical Center,THPC
0,0,13,45,51,17,0,7,2,0,0,178,128,13,6,8/10/2020,50,340015,Novant Health - Rowan Medical Center,THPC
25,11,24,19,24,12,0,7,0,0,0,180,158,13,5,7/30/2020,22,340116,Frye Regional MC,THPC
25,10,24,17,24,17,0,7,0,0,0,180,156,14,7,7/27/2020,24,340116,Frye Regional MC,THPC
0,0,16,5,12,16,0,7,7,0,1,199,103,16,7,7/19/2020,96,340039,Iredell Health System,THPC
0,1,16,4,12,17,0,8,8,0,1,199,115,15,8,7/18/2020,84,340039,Iredell Health System,THPC
25,10,24,15,24,16,0,8,0,0,0,180,150,14,9,7/20/2020,30,340116,Frye Regional MC,THPC
8,0,16,6,12,17,0,9,6,0,3,199,109,16,6,7/14/2020,90,340039,Iredell Health System,THPC
8,0,16,6,12,17,0,9,9,0,5,199,108,16,6,7/17/2020,91,340039,Iredell Health System,THPC
0,5,13,40,47,14,0,0,1,1,0,126,147,8,7,6/16/2020,-21,340015,Novant Health - Rowan Medical Center,THPC
25,1,16,17,26,2,0,0,5,1,3,200,175,15,9,6/5/2020,25,340143,Catawba Valley Medical Center,THPC
0,4,13,44,52,11,0,0,1,1,1,178,148,9,8,6/24/2020,30,340015,Novant Health - Rowan Medical Center,THPC
25,7,8,10,10,1,0,1,0,1,0,99,48,1,0,8/8/2020,51,340144,Davis Regional MC,THPC
8,7,16,9,12,10,0,1,3,1,1,199,79,9,3,8/10/2020,120,340039,Iredell Health System,THPC
25,5,8,10,10,1,0,1,1,1,0,99,49,3,0,6/26/2020,50,340144,Davis Regional MC,THPC
0,6,13,39,52,11,0,1,3,1,0,180,137,7,13,7/4/2020,43,340015,Novant Health - Rowan Medical Center,THPC
0,-1,13,39,52,13,0,1,2,1,0,180,136,14,13,7/6/2020,44,340015,Novant Health - Rowan Medical Center,THPC
25,4,24,18,25,6,0,1,0,1,0,180,130,20,7,6/27/2020,50,340116,Frye Regional MC,THPC
25,6,24,17,24,8,0,1,0,1,0,180,140,18,7,6/22/2020,40,340116,Frye Regional MC,THPC
25,10,24,17,24,3,0,1,0,1,0,180,141,14,7,6/14/2020,39,340116,Frye Regional MC,THPC
25,6,24,19,24,3,0,1,0,1,0,180,140,18,5,6/13/2020,40,340116,Frye Regional MC,THPC
25,5,24,17,24,3,0,1,0,1,0,180,132,19,7,7/3/2020,48,340116,Frye Regional MC,THPC
25,4,16,22,26,10,0,1,4,1,2,200,143,12,4,6/13/2020,57,340143,Catawba Valley Medical Center,THPC
25,5,8,10,10,1,0,1,0,1,0,99,60,3,0,7/11/2020,39,340144,Davis Regional MC,THPC
0,0,13,47,52,10,0,1,2,1,0,179,133,13,5,6/25/2020,46,340015,Novant Health - Rowan Medical Center,THPC
0,2,13,39,52,12,0,1,3,1,0,178,144,11,13,7/8/2020,34,340015,Novant Health - Rowan Medical Center,THPC
0,6,13,40,52,13,0,1,3,1,0,180,145,7,12,7/3/2020,35,340015,Novant Health - Rowan Medical Center,THPC
0,4,13,41,52,13,0,1,2,1,1,180,147,9,11,7/7/2020,33,340015,Novant Health - Rowan Medical Center,THPC
0,5,13,42,50,8,0,1,5,1,1,177,138,8,8,7/16/2020,39,340015,Novant Health - Rowan Medical Center,THPC
25,3,16,6,16,7,0,1,2,1,0,200,137,13,10,6/9/2020,63,340143,Catawba Valley Medical Center,THPC
25,5,8,10,10,2,0,2,0,1,0,99,48,3,0,8/9/2020,51,340144,Davis Regional MC,THPC
0,8,13,42,51,15,0,2,5,1,1,180,138,5,9,8/11/2020,42,340015,Novant Health - Rowan Medical Center,THPC
25,14,24,21,24,9,0,2,0,1,0,180,137,10,3,8/23/2020,43,340116,Frye Regional MC,THPC
25,1,8,10,10,2,0,2,5,1,2,99,51,7,0,6/28/2020,48,340144,Davis Regional MC,THPC
25,1,8,10,10,2,0,2,0,1,0,75,50,7,0,7/21/2020,25,340144,Davis Regional MC,THPC
25,4,8,10,10,2,0,2,0,1,0,99,56,4,0,7/12/2020,43,340144,Davis Regional MC,THPC
8,2,16,7,12,2,0,2,3,1,0,199,104,14,5,6/10/2020,95,340039,Iredell Health System,THPC
8,1,16,10,12,2,0,2,3,1,3,199,77,15,2,6/9/2020,122,340039,Iredell Health System,THPC
25,8,24,22,24,5,0,2,0,1,0,180,136,16,2,7/8/2020,44,340116,Frye Regional MC,THPC
25,6,24,22,25,7,0,2,0,1,0,180,128,18,3,7/11/2020,52,340116,Frye Regional MC,THPC
25,8,24,19,24,3,0,2,0,1,0,180,128,16,5,7/1/2020,52,340116,Frye Regional MC,THPC
25,9,24,17,24,3,0,2,0,1,0,180,110,15,7,6/10/2020,70,340116,Frye Regional MC,THPC
25,7,24,16,24,4,0,2,0,1,0,180,115,17,8,6/9/2020,65,340116,Frye Regional MC,THPC
25,10,24,18,24,4,0,2,0,1,0,180,141,14,6,6/15/2020,39,340116,Frye Regional MC,THPC
25,8,24,21,24,6,0,2,0,1,0,180,136,16,3,7/12/2020,44,340116,Frye Regional MC,THPC
25,3,24,17,24,6,0,2,0,1,0,180,140,21,7,7/2/2020,40,340116,Frye Regional MC,THPC
25,4,16,22,26,11,0,2,4,1,2,200,140,12,4,6/14/2020,60,340143,Catawba Valley Medical Center,THPC
35,1,16,17,26,18,0,2,8,1,3,200,161,15,9,7/24/2020,39,340143,Catawba Valley Medical Center,THPC
25,0,16,19,26,6,0,2,8,1,6,200,173,16,7,6/23/2020,27,340143,Catawba Valley Medical Center,THPC
0,2,13,42,52,12,0,2,3,1,2,178,148,11,10,7/1/2020,30,340015,Novant Health - Rowan Medical Center,THPC
0,3,13,46,52,11,0,2,2,1,2,179,129,10,6,6/30/2020,50,340015,Novant Health - Rowan Medical Center,THPC
0,2,13,40,52,12,0,2,3,1,0,178,131,11,12,7/9/2020,47,340015,Novant Health - Rowan Medical Center,THPC
0,1,13,41,50,9,0,2,2,1,1,178,143,12,9,7/17/2020,35,340015,Novant Health - Rowan Medical Center,THPC
25,1,16,19,26,5,0,2,10,1,7,200,187,15,7,6/24/2020,13,340143,Catawba Valley Medical Center,THPC
25,3,16,21,26,6,0,2,10,1,6,200,179,13,5,6/25/2020,21,340143,Catawba Valley Medical Center,THPC
0,4,13,40,52,12,0,2,0,1,0,175,126,9,12,7/10/2020,49,340015,Novant Health - Rowan Medical Center,THPC
25,4,8,14,14,3,0,3,0,1,0,80,51,4,0,8/11/2020,29,340144,Davis Regional MC,THPC
25,3,8,10,10,3,0,3,0,1,0,80,64,5,0,8/14/2020,16,340144,Davis Regional MC,THPC
25,2,6,14,14,3,0,3,0,1,0,80,43,4,0,8/18/2020,37,340144,Davis Regional MC,THPC
25,4,8,10,10,3,0,3,0,1,0,80,46,4,0,8/16/2020,34,340144,Davis Regional MC,THPC
25,2,8,11,12,3,0,3,1,1,0,80,56,6,1,8/6/2020,24,340144,Davis Regional MC,THPC
25,4,8,10,10,3,0,3,1,1,1,80,46,4,0,8/4/2020,34,340144,Davis Regional MC,THPC
8,3,16,11,15,12,0,3,7,1,1,199,104,13,4,8/19/2020,95,340039,Iredell Health System,THPC
8,2,16,12,15,11,0,3,4,1,2,199,114,14,3,7/31/2020,85,340039,Iredell Health System,THPC
8,1,16,11,15,11,0,3,7,1,2,199,116,15,4,8/20/2020,83,340039,Iredell Health System,THPC
25,14,24,19,24,8,0,3,0,1,0,180,159,10,5,8/25/2020,21,340116,Frye Regional MC,THPC
25,15,24,20,24,9,0,3,0,1,0,180,153,9,4,8/24/2020,27,340116,Frye Regional MC,THPC
25,10,24,22,24,11,0,3,0,1,0,180,149,14,2,8/11/2020,31,340116,Frye Regional MC,THPC
25,7,24,16,24,12,0,3,0,1,0,180,142,17,8,8/14/2020,38,340116,Frye Regional MC,THPC
